training num,model name,epoches,learning_rate,test interval,epoch 0 correct ,epoch 1 correct ,epoch 2 correct ,epoch 3 correct ,epoch 4 correct ,epoch 5 correct ,epoch 6 correct ,epoch 7 correct ,epoch 8 correct ,epoch 9 correct 
0,collision-10.0e-2-180-360-90-30-2-tanh-softmax,10,0.1,1,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
1,collision-10.0e-2-180-360-90-30-2-tanh-softmax,10,0.1,1,50.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
2,collision-10.0e-2-180-360-90-30-2-tanh-softmax,10,0.1,1,50.0,75.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
