training num,model name,epoches,learning_rate,test interval,epoch 0 correct ,epoch 1 correct ,epoch 2 correct ,epoch 3 correct ,epoch 4 correct ,epoch 5 correct ,epoch 6 correct ,epoch 7 correct ,epoch 8 correct ,epoch 9 correct 
0,collision-10.0e-2-180-30-2-tanh-softmax,10,0.1,1,56.0,85.0,81.0,84.0,46.0,83.0,86.0,46.0,84.0,85.0
1,collision-10.0e-2-180-30-2-tanh-softmax,10,0.1,1,83.0,86.0,86.0,83.0,82.0,80.0,85.0,83.0,84.0,86.0
2,collision-10.0e-2-180-30-2-tanh-softmax,10,0.1,1,80.0,88.0,82.0,84.0,84.0,83.0,82.0,84.0,86.0,85.0
