training num,model name,epoches,learning_rate,test interval,epoch 0 correct ,epoch 1 correct ,epoch 2 correct ,epoch 3 correct ,epoch 4 correct ,epoch 5 correct ,epoch 6 correct ,epoch 7 correct ,epoch 8 correct ,epoch 9 correct 
0,collision-5.0e-2-180-360-90-30-2-tanh-softmax,10,0.05,1,73.0,61.0,64.0,46.0,46.0,84.0,46.0,55.0,46.0,46.0
1,collision-5.0e-2-180-360-90-30-2-tanh-softmax,10,0.05,1,84.0,85.0,84.0,86.0,87.0,87.0,46.0,78.0,76.0,66.0
2,collision-5.0e-2-180-360-90-30-2-tanh-softmax,10,0.05,1,86.0,84.0,82.0,82.0,73.0,46.0,46.0,46.0,46.0,46.0
