training num,model name,epoches,learning_rate,test interval,epoch 0 correct ,epoch 1 correct ,epoch 2 correct ,epoch 3 correct ,epoch 4 correct ,epoch 5 correct ,epoch 6 correct ,epoch 7 correct ,epoch 8 correct ,epoch 9 correct 
0,collision-5.0e-2-180-90-30-2-tanh-softmax,10,0.05,1,80.0,87.0,74.0,82.0,83.0,68.0,51.0,84.0,46.0,87.0
1,collision-5.0e-2-180-90-30-2-tanh-softmax,10,0.05,1,84.0,78.0,84.0,84.0,85.0,87.0,79.0,81.0,87.0,54.0
2,collision-5.0e-2-180-90-30-2-tanh-softmax,10,0.05,1,84.0,71.0,84.0,84.0,83.0,79.0,74.0,64.0,84.0,86.0
