training num,model name,epoches,learning_rate,test interval,epoch 0 correct ,epoch 1 correct ,epoch 2 correct ,epoch 3 correct ,epoch 4 correct ,epoch 5 correct ,epoch 6 correct ,epoch 7 correct ,epoch 8 correct ,epoch 9 correct 
0,collision-10.0e-2-270-30-2-tanh-softmax,10,0.1,1,62.0,83.0,86.0,87.0,90.0,90.0,87.0,88.0,89.0,87.0
1,collision-10.0e-2-270-30-2-tanh-softmax,10,0.1,1,82.0,82.0,85.0,87.0,87.0,87.0,89.0,88.0,89.0,88.0
2,collision-10.0e-2-270-30-2-tanh-softmax,10,0.1,1,90.0,90.0,88.0,86.0,87.0,48.0,46.0,87.0,87.0,90.0
